incident_url,paragraph_num,description
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-6/,1,"The individual was described as being male, with a light complexion, approximately 30 to 35 years old and approximately 183 cm (6’). They had short blonde hair and a blonde full beard. They were wearing a blue jacket, brown boots and carrying multiple bags."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-5/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-4/,1,"The first individual was described as being male, with a dark complexion, is 34 years old and approximately 170 cm (5’7’’). They were bald with a black full beard. They were wearing a purple blazer, black sweatpants and black flip-flops."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-4/,2,"The second individual was described as being male, with a light complexion and approximately 180 cm (5’11’’). They had dirty blonde straight hair and a blonde goatee. They were wearing a white t-shirt and grey sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-4/,3,"The third individual was described as being female, with a medium complexion, approximately 35 to 40 years old and approximately 168 cm (5’6’’). They had medium-length black hair.  They were wearing a camouflage long sleeved t-shirt and light green tights."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-3/,1,"The individual was described as being male, with a light complexion and approximately 173 cm (5’8’’). They had short black hair. They were wearing a black t-shirt, black jeans, black sneakers and carrying a grey bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6-2/,1,"The individual was described as being female, with a medium complexion, is 31 years old and approximately 168 cm (5’6’’). They had medium-length black hair. They were wearing a black t-shirt and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-6/,1,"The individual was described as being female, with a light complexion, approximately 50 to 60 years old and approximately 168 cm (5’6’’). They had medium-length dirty blonde hair. They were wearing an orange jacket, black skirt and black tights."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-31/,1,"The individual was described as male, with a medium complexion and approximately 165 cm (5’5”). They had short dark brown hair. They were wearing a blue and white jacket, white t-shirt, black shorts and black boots."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-23-2/,1,"The individual was described as male, with a dark complexion, approximately 25 to 30 years old and approximately 180 cm (5’11”). They were wearing sunglasses, a black hoodie and carrying a blue bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-23/,1,"The individual was described as male, with a medium complexion, is 66 years old and approximately 161 cm (5’4”). They had short grey hair and a grey mustache. They were wearing a white baseball hat, white sleeveless shirt and white shorts."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-16-2/,1,"The individual was described as male, with a medium complexion, is 19 years old and approximately 173 cm (5’8”). They had a black full beard. They were wearing multicolored short sleeve top, blue jeans and black running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-16/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-11/,1,"The individual was described as male, with a dark complexion, is 23 years old and approximately 178 cm (5’8”). They had long light brown hair. They were wearing a black long sleeved t-shirt, blue pants and white sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-9/,1,"The individual was described as male, with a light complexion, approximately 30 to 40 years old and approximately 180 cm (5’11”). They were wearing a grey rain jacket, camouflage shorts and blue sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-3-2/,1,"The individual was described as female, with a dark complexion and approximately 183 cm (6’). They had long black hair. They were wearing a white skirt."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/08/security-incident-august-3/,1,"The individual was described as male, with a dark complexion, approximately 45 to 55 years old and approximately 168 cm (5’6”). They had short black hair and black facial hair. They were wearing a maroon blazer, blue jeans and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-28-2/,1,"The individual was described as male, with a dark complexion, approximately 30 to 35 years old and approximately 183 cm (6’). They were wearing a purple short sleeved shirt, black jeans and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-28/,1,"The individual was described as male, with a medium complexion, approximately 25 to 35 years old and approximately 170 cm (5’7”). They had medium-length black hair and black facial hair. They were topless wearing light blue shorts and white sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-27/,1,"The first individual was described as male, with a light complexion, approximately 20 to 25 years old and approximately 175 cm (5’9”). They were wearing a black hoodie, black jeans, white t-shirt and purple running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-27/,2,"The second individual was described as male, with a medium complexion, approximately 20 to 25 years old and approximately 178 cm (5’10”). They had short dark brown hair. They were wearing a black balaclava mask, black hoodie, black t-shirt, black sweatpants, black sneakers and carrying a grey backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-27/,3,"The third individual was described as female, with a light complexion, approximately 20 to 25 years old and approximately 170 cm (5’7”). They had medium-length light brown hair in a ponytail. They were wearing a grey hoodie, grey sweatpants and black running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25-4/,1,"The first individual was described as male, with a medium complexion, approximately 20 to 25 years old and approximately 178 cm (5’10”). They had long black hair. They were wearing a black baseball hat, black t-shirt, black sweatpants and blue running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25-4/,2,"The second individual was described as male, with a light complexion, approximately 20 to 25 years old and approximately 178 cm (5’10”). They had long light brown wavy hair. They were wearing a black toque, black t-shirt, green cargo pants and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25-3/,1,"The individual was described as male, with a dark complexion and approximately 20 to 30 years old. They were wearing a blue baseball hat, multi-coloured t-shirt and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25-2/,1,"The first individual was described as male, with a light complexion, approximately 30 to 35 years old and approximately 173 cm (5’8”). They had short blonde hair. They were wearing a white t-shirt and camouflage sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25-2/,2,"The second individual was described as male, with a light complexion, approximately 30 to 35 years old and approximately 175 cm (5’9”). They had medium-length dirty blonde hair. They were wearing a white t-shirt, blue shorts and white running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-25/,1,"The individual was described as male, with a dark complexion, is 26 years old and approximately 183 cm (6’). They had a shaved head. They were wearing a blue shirt, brown sweatpants and black sandals."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-21/,1,"The individual was described as male, with a dark complexion, is 34 years old and approximately 183 cm (6’). They had short black hair and a black goatee. They were wearing a dark green t-shirt, black shorts and were carrying an olive green backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-20/,1,"The individual was described as male, with a dark complexion, is 34 years old and approximately 183 cm (6’). They had short black hair and a black goatee. They were wearing a dark green t-shirt, black shorts and were carrying an olive green backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-19/,1,"The individual was described as male, with a light complexion and approximately 173 cm (5’8”). They were wearing a white t-shirt, blue jeans and grey running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-18-3/,1,"The individual was described as male, with a medium complexion, is 44 years old and approximately 180 cm (5’11”). They had short black hair and a black full beard. They were wearing a black baseball hat, grey hoodie, black sweatpants, red sneakers and carrying a green shoulder bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-18-2/,1,"The individual was described as male, with a medium complexion, is 24 years old and approximately 170 cm (5’7”). They had black long hair. They were wearing a black t-shirt and grey pants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-18/,1,"The individual was described as female, with a medium complexion, is 31 years old and approximately 168 cm (5’6”). They had short black hair. They were wearing a black baseball hat, black coat, black jeans, black sneakers, riding a bicycle and had a leashed dog."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-17/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-13-2/,1,"The individual was described as male, with a light complexion, is 29 years old and approximately 173 cm (5’8”). They had short dirty blonde hair. They were wearing a red t-shirt, black sweatpants, black sneakers and carrying two black bags."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-13/,1,"The individual was described as male, with a light complexion, is approximately 45 to 50 years old and approximately 175 cm (5’9”). They had medium-length black hair and a black full beard. They were wearing a yellow vest, green hoodie, blue jeans and grey boots."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-11/,1,"The first individual was described as male, with a dark complexion and is approximately 20 to 30 years old. They were wearing a black baseball hat, white long sleeved t-shirt, grey jeans, white sneakers and carrying a black backpack and a black side bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-11/,2,"The second individual was described as male, with a dark complexion and is approximately 20 to 30 years old. They had short black hair. They were wearing a black long sleeved t-shirt, black jeans and multi-coloured loafers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-7-2/,1,"The individual was described as male, with a light complexion, is approximately 30 to 35 years old and approximately 168 cm (5’6”). They had short light brown receding hair and a light brown full beard.  They were wearing a grey t-shirt with a white strip, black sweatpants and white sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-7/,1,"The individual was described as male, with a dark complexion, is approximately 30 to 35 years old and approximately 168 cm (5’6”). They had medium-length black hair.  They were wearing a bandana, beige jacket, black jeans, black sneakers and carrying a black bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-6-3/,1,"The individual was described as male, with a light complexion, is approximately 40 to 50 years old and approximately 173 cm (5’8”). They were wearing a black baseball hat, a black t-shirt, black pants and blue sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-6-2/,1,"The individual was described as male, with a medium complexion and approximately 30 to 40 years old. They were wearing a black t-shirt and black pants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-6/,1,"The individual was described as male, with a dark complexion, is approximately 21 to 30 years old and approximately 178 cm (5’10”). They were wearing a black t-shirt and brown jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/07/security-incident-july-4/,1,"The individual was described as male, with a medium complexion, is 28 years old and approximately 191 cm (6’3”). They were wearing a black t-shirt and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-30/,1,"The individual was described as male, with a light complexion, approximately 50 to 55 years old and approximately 170 cm (5’7”). They had short white hair and a white full beard. They were wearing a brown leather jacket and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-27-5/,1,"The individual was described as male, with a dark complexion and approximately 170 cm (5’7”). They were wearing a red bandana, grey hoodie and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-27-4/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-27-3/,1,"The individual was described as male, with a dark complexion, approximately 30 to 40 years old and approximately 175 cm (5’9”). They had medium-length black hair. They were topless, wearing grey cargo pants and brown boots."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-27-2/,1,"The individual was described as male, with a light complexion, approximately 24 to 28 years old and approximately 168 cm (5’6”). They had medium-length dark brown hair. They were wearing a black baseball hat, white t-shirt, black pants and carrying a satchel."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-27/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-26/,1,"The individual was described as male, with a dark complexion, approximately 20 to 30 years old and approximately 183 cm (6’). They had medium-length black hair. They were wearing a black t-shirt."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-23/,1,"The individual was described as female, with a light complexion, approximately 25 to 30 years old and approximately 168 cm (5’6”). They had long black hair in a ponytail. They were wearing a black long sleeve t-shirt, black shorts and carrying a brown purse."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-21-2/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-21/,1,"The individual was described as male, with a medium complexion and approximately 40 to 45 years old. They had short dark brown curly hair. They were wearing a beige t-shirt and black pants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/06/security-incident-june-20/,1,"The individual was described as male, with a dark complexion, and is approximately 178 cm (5'10”). They were wearing a black baseball hat, black and gray T-shirt, blue jeans and carrying a black side bag."
