incident_url,title,date,location_of_incident,date_of_incident,date_reported,incident_details,incident,loi_standardized,extracted_streets,doi_hour,doi_weekday,doi_day,doi_month,doi_semester,doi_year,coordinates
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-28-2/,Uttering Threats,"September 28, 2023",Gould Street and Yonge Street,2023-09-27 14:45:00,2023-09-27 20:00:00,"A TMU community member reported to TMU Security that an individual approached them and their friend and sat in front of them. While staring at them, the individual threatened them and shortly after the community member and their friend left the area. The community  member declined assistance from Toronto Police Service.",Uttering Threats,gould street and yonge street,"['gould street', 'yonge street']",14,3,27,9,Fall,2023,"43.657411127296, -79.38136126154417"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-28/,Assault,"September 28, 2023",Nelson Mandela Walk and Gould Street,2023-09-26 08:15:00,2023-09-26 08:30:00,"A TMU community member reported to TMU Security that an individual approached them and blocked their path. The individual then kneed the community member, and the community member left the area. Security attended but the individual had already left campus. No visible injuries were reported. Toronto Police Service was notified.",Assault,gould street and victoria street,"['gould street', 'victoria street']",8,2,26,9,Fall,2023,"43.65768287052507, -79.38016088904517"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-25-2/,Assault: Suspect Arrested,"September 25, 2023",Victoria Street and Dundas Street East,2023-09-25 12:15:00,2023-09-25 12:15:00,Toronto Police Service informed TMU Security of an individual brandishing an axe. Toronto Police Service located the individual off campus and arrested them.,Assault,dundas street east and victoria street,"['dundas street east', 'victoria street']",12,1,25,9,Fall,2023,"43.65629025535696, -79.37957631384445"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-25/,Assault,"September 25, 2023",Rogers Communications Centre,2023-09-21 11:15:00,2023-09-21 11:15:00,"A TMU community member reported to TMU Security that while using a washroom stall the individual entered the next stall, grabbed the community member’s leg and then fled. The community member declined assistance from Toronto Police Service.",Assault,rogers communications centre,['building'],11,4,21,9,Fall,2023,"43.65871860435374, -79.37697129173189"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-20/,Uttering Threats: Suspect Arrested,"September 20, 2023",Victoria Street and Dundas Street East,2023-09-19 18:45:00,2023-09-19 18:45:00,Two TMU community members reported to TMU Security that an individual approached them and repeatedly threatened them while also following them. Security attended and arrested the individual. Toronto Police Service was notified and attended.,Uttering Threats,dundas street east and victoria street,"['dundas street east', 'victoria street']",18,2,19,9,Fall,2023,"43.65629025535696, -79.37957631384445"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19-3/,Sexual Assault: Suspect Arrested,"September 19, 2023",Dundas Street West and Yonge Street,2023-09-18 18:30:00,2023-09-18 18:30:00,TMU community members reported to TMU Security they witnessed an individual sexually assaulting a community member and leaving the area. Security located the individual and arrested them. Toronto Police Service was notified and attended.,Sexual Assault,dundas street and yonge street,"['dundas street', 'yonge street']",18,1,18,9,Fall,2023,"43.65633116175363, -79.38091825259052"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19-2/,Indecent Act,"September 19, 2023",Gerrard Street East and Church Street,2023-09-18 04:30:00,2023-09-18 04:30:00,"A member of the public reported to TMU Security that they witnessed an individual masturbating. Security attended, identified the individual and barred them from campus. The member of the public declined assistance from Toronto Police Service.",Indecent Act,church street and gerrard street,"['church street', 'gerrard street']",4,1,18,9,Fall,2023,"43.65985897345095, -79.37850762740992"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19/,Robbery: Suspect Arrested,"September 19, 2023",Bond Street and Dundas Street East,2023-09-15 08:30:00,2023-09-15 08:30:00,"TMU Security witnessed an individual brandishing an edged object towards a member of the public and intervened. The member of the public reported the individual took their belongings, and when they asked for them to return them the individual brandished the object and threatened them. No visible injuries were reported. Toronto Police Service were notified, attended and arrested the individual.",Robbery,bond street and dundas street east,"['bond street', 'dundas street east']",8,5,15,9,Fall,2023,"43.65626355870508, -79.37830993397347"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-15/,Assault,"September 15, 2023",Sheldon & Tracy Levy Student Learning Centre,2023-09-13 13:30:00,2023-09-13 13:30:00,"A TMU community member reported to TMU Security that an individual approached them and punched them. Another community member intervened and the individual left campus. Visible injuries were reported, but the community member declined medical assistance, and assistance from Toronto Police Service.",Assault,student learning centre,['building'],13,3,13,9,Fall,2023,"43.657812498079906, -79.38112441739146"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-13-2/,Sexual Assault: Suspect Arrested,"September 13, 2023",Victoria Street Lane and Dundas Street East,2023-09-13 00:15:00,2023-09-13 00:15:00,"TMU Security witnessed an individual sexually assaulting a member of the public. Security intervened and separated the individual from the member of the public. Toronto Police Service and Toronto Paramedic Services were notified, attended and Toronto Police Service arrested the individual.",Sexual Assault,dundas street east and victoria street lane,"['dundas street east', 'victoria street lane']",0,3,13,9,Fall,2023,"43.65613465257989, -79.37888516844146"
